search=<ComponentId>
replace=<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
150,Armor Plating,160,0,0
,,180,1,1
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
205,Ion Sheath,192,2,8
,,230,2,12
410,Enhanced Ion Sheath,276,3,16
,,331,3,20
206,Hardened Ion Sheath,397,4,24
,,476,4,28
373,Ultra-Dense Ion Sheath,571,5,32
,,685,5,36
379,Absorbing Ion Sheath,822,6,40
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
350,Heavy,200,2,2
,,250,2,3
173,Enhanced Heavy,313,3,4
,,391,3,5
182,Hardened Heavy,489,4,6
,,611,4,7
186,Ultra-Dense Heavy,764,5,8
,,955,5,9
188,Absorbing Heavy,1194,6,10
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
393,Reactive,184,4,2
,,212,5,3
394,Enhanced Reactive,244,6,4
,,281,7,5
395,Hardened Reactive,323,8,6
,,371,9,7
396,Ultra-Dense Reactive,427,10,8
,,491,11,9
397,Absorbing Reactive,565,12,10
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
261,Flux,200,2,4
,,250,3,6
262,Flux Enhanced,313,4,8
,,391,5,10
263,Flux Hardened,489,6,12
,,611,7,14
385,Flux Ultra-Dense,764,8,16
,,955,9,18
392,Flux Absorbing,1194,10,20
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
195,Stellar,1194,12,40
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
207,Armor Plating [Ftr],32,0,0
,,36,0,1
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
266,Ion Sheath [Ftr],38,1,6
,,46,1,9
409,Enhanced Ion Sheath [Ftr],55,1,12
,,66,1,15
269,Hardened Ion Sheath [Ftr],79,2,18
,,95,2,21
372,Ultra-Dense Ion Sheath [Ftr],114,2,24
,,137,2,27
378,Absorbing Ion Sheath [Ftr],164,3,30
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
351,Heavy [Ftr],40,1,2
,,50,1,2
208,Enhanced Heavy [Ftr],63,1,3
,,78,1,4
209,Hardened Heavy [Ftr],98,2,5
,,122,2,5
267,Ultra-Dense Heavy [Ftr],153,2,6
,,191,2,7
270,Absorbing Heavy [Ftr],239,3,8
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
398,Reactive [Ftr],37,2,2
,,42,2,2
399,Enhanced Reactive [Ftr],49,3,3
,,56,3,4
400,Hardened Reactive [Ftr],65,4,5
,,74,4,5
401,Ultra-Dense Reactive [Ftr],85,5,6
,,98,5,7
402,Absorbing Reactive [Ftr],113,6,8
,,,,
<ComponentId>,<Name>,<Values><ArmorBlastRating>,<Values><ArmorReactiveRating>,<Values><IonDamageDefense>
264,Flux [Ftr],40,1,3
,,50,1,5
265,Flux Enhanced [Ftr],63,2,6
,,78,2,8
268,Flux Hardened [Ftr],98,3,9
,,122,3,11
384,Flux Ultra-Dense [Ftr],153,4,12
,,191,4,14
391,Flux Absorbing [Ftr],239,5,15
,,,,
<ComponentId>,<Name>,<ArmorBlastRating>,<ArmorReactiveRating>,<IonDamageDefense>
271,Stellar [Ftr],239,6,30
