SYSTEM Asteroid Field	;{0} Asteroid Field
Cloned				;Cloned
Independent			;Independent
Standard Infantry	;Standard Infantry
Standard Militia	;Standard Militia
Standard Raider		;Standard Raider
Raider				;Raider
Hive Raider			;Hive Raider

None				;None
Escort				;Escort
Frigate				;Frigate
Destroyer			;Destroyer
Cruiser				;Cruiser
Capital Ship		;Battleship
Planet Destroyer	;Planet Destroyer
Carrier				;Carrier
Troop Transport		;Troop Transport
Freighter			;Freighter
Small Freighter		;Freighter, Small
Medium Freighter	;Freighter, Medium
Large Freighter		;Freighter, Large
Mining Ship			;Mining Ship
Fuel Tanker			;Refueler
Construction Ship	;Construction Ship
Exploration Ship	;Exploration Ship
Passenger Ship		;Passenger Ship
Colony Ship			;Colonizer
Spaceport			;Space Station
Small Spaceport		;Space Station, Local
Medium Spaceport	;Space Station, Regional
Large Spaceport		;Space Station, Galactic
Mining Station		;Mining Station
Defensive Base		;Defensive Base
Research Station	;Research Station
Monitoring Station	;Monitoring Station
Resort Base			;Resort Base
Interceptor			;Fighter
Bomber				;Bomber

ShipMission Description Undefined		;No mission
ShipMission Description Attack		;Attack {0}
ShipMission Description Attack Prepare		;Prepare and Attack {0}
ShipMission Description Attack Prepare Waypoint		;Attack {0} (waypoint at {1})
ShipMission Description Attack Prepare Refuel		;Attack {0} (refuel at {1})
ShipMission Description Blockade		;Blockade {0}
ShipMission Description Bombard		;Bombard {0}
ShipMission Description Bombard Prepare		;Prepare and Bombard {0}
ShipMission Description Bombard Prepare Waypoint		;Bombard {0} (waypoint at {1})
ShipMission Description Bombard Prepare Refuel		;Bombard {0} (refuel at {1})
ShipMission Description Build		;Build {0} ({2}) at {1}
ShipMission Description BuildRepair		;Build {0}
ShipMission Description BuildRepair Detailed		;Complete construction of {0} in the {1} system
ShipMission Description Build Coordinates		;Build {0} ({1}) at these coordinates
ShipMission Description Capture		;Capture {0}
ShipMission Description Capture Prepare		;Prepare and Capture {0}
ShipMission Description Capture Prepare Waypoint		;Capture {0} (waypoint at {1})
ShipMission Description Capture Prepare Refuel		;Capture {0} (refuel at {1})
ShipMission Description Colonize		;Colonize {0}
ShipMission Description Escape Target		;Escape from {0}
ShipMission Description Escape Destination		;Escape to {0}
ShipMission Description Escape		;Escape
ShipMission Description Escort		;Escort {0}
ShipMission Description Explore		;Explore {0}
ShipMission Description ExploreSystem		;Explore {0} system ({1})
ShipMission Description ExploreLocation		;Explore {0} location ({1})
ShipMission Description ExploreSurvey		;Survey {0}
ShipMission Description FighterBoardCarrier		;Board carrier {0}
ShipMission Description Guard		;Guard {0}
ShipMission Description LoadTroops		;Load troops at {0}
ShipMission Description LoadTroops Unavailable		;Load troops
ShipMission Description LoadPopulation		;Load colonists at {0}
ShipMission Description LoadPopulation RACE		;Load colonists at {0} ({1})
ShipMission Description LoadCargo		;Load fuel at {0}
ShipMission Description TransferFuel		;Transfer fuel to {0}
ShipMission Description Mine		;Mine {0}, offload at {1}
ShipMission Description MineLoad		;Mine fuel at {0}
ShipMission Description Move		;Move to {0}
ShipMission Description Move Coordinates		;Move to {0}, {1}
ShipMission Description Patrol		;Patrol {0}
ShipMission Description Pickup		;Pick up {0}
ShipMission Description Raid		;Raid {0}
ShipMission Description Raid Prepare		;Prepare and Raid {0}
ShipMission Description Raid Prepare Waypoint		;Raid {0} (waypoint at {1})
ShipMission Description Raid Prepare Refuel		;Raid {0} (refuel at {1})
ShipMission Description Refuel		;Refuel at {0}
ShipMission Description Repair		;Repair at {0}
ShipMission Description Retire Target		;Retire at {0}
ShipMission Description Retire		;Retire
ShipMission Description Retrofit		;Retrofit at {0}
ShipMission Description Retrofit With Design		;Retrofit to {1} at {0}
ShipMission Description Scout		;Scout {0}
ShipMission Description Scrap		;Scrap at {0}
ShipMission Description Transport		;Transport cargo from {0} to {1}
ShipMission Description Transport Passengers		;Transport passengers from {0} to {1}
ShipMission Description Transport Migrants		;Transport migrants from {0} to {1}
ShipMission Description Transport Tourists		;Transport tourists from {0} to {1}
ShipMission Description UnloadTroops		;Unload troops at {0}
ShipMission Description UnloadPassengers		;Unload passengers at {0}
ShipMission Description ExitYard		;Leave construction yard

ShipMission Description With Distance Attack		;Attack {0} ({1} away)
ShipMission Description With Distance Attack Prepare		;Prepare and Attack {0} ({1} away)
